DOI;Title;Abstract;Exclusion_Criteria;Tema a tratar;Categorización;Falsos positivos;ojo con este;Categories;AbstractORArticle;Categories_RQ1;Categories_RQ2;Categories_RQ3;Categories_RQ4
10.4018/979-8-3693-8985-0.ch011;Current advancements in AI-driven education;"With the rise of Artificial Intelligence (AI), smart computing, and high- speed internet, education is undergoing a profound transformation. Learning is no longer confined to traditional classrooms; instead, AI- driven tools are making education more personalized, interactive, and accessible to students worldwide. In an era where global migration, conflicts, and resource shortages pose serious challenges to education, AI offers innovative solutions to bridge learning gaps and ensure that quality education reaches even the most underserved communities. Additionally, today's learners-often referred to as cyber nomads-are growing up surrounded by technology, making it essential to adapt educational methods to their digital-first way of learning. AI is also proving to be a game- changer for students with special needs, such as those with autism, by offering tailored support that traditional systems struggle to provide. This chapter delves into three major areas where AI is reshaping education. First, AI-powered personalized learning systems are revolutionizing how students learn by offering adaptive platforms, AI tutors, and real- time analytics that customize education to fit individual needs. Second, AI- driven content creation and assessment are enhancing the way educational materials are developed, automating lesson planning and grading while integrating interactive experiences like gamification and AR/VR- based learning. Finally, AI- driven administrative and institutional innovations are streamlining operations in schools and universities, making tasks like enrolment, scheduling, and performance tracking more efficient, while also using predictive analytics to help students stay on track. By exploring these advancements, this chapter aligns with the book's goal of highlighting cuttingedge AI applications that are shaping the future of education. It provides insights into how AI is transforming learning at all levels-from kindergarten to higher education-and discusses its potential to create a more inclusive, efficient, and engaging educational experience. This chapter will serve as a valuable resource for educators, administrators, and technology developers looking to harness AI's power to build a smarter, more adaptable learning environment for the next generation. © 2025, IGI Global Scientific Publishing. All rights reserved.";;Trata sobre las aplicaciones de IA de vanguardia que están dando forma al futuro de la educación;IA;VR, AR, GAME, TEA;;AR,classroom,VR;0;VR,AR;classroom;;
10.1089/g4h.2023.0240;The Impact of Virtual Reality Intervention on Emotion Regulation and Executive Functions in Autistic Children;Introduction: Autistic children may encounter difficulties in managing emotions and executive functions (EFs), which can contribute to mental and health challenges. Recognizing physical activities as a potential strategy for enhancing emotion regulation (ER), this study aims to investigate the efficacy of a virtual reality (VR)-based physical exercise program in improving ER and EFs among children with autism spectrum disorder (ASD). Materials and Methods: Forty boys diagnosed with ASD, aged 7 to 10 years, were randomly assigned to two groups: a VR intervention group (n = 20) and a control group (n = 20). The intervention group participated in a VR program, while the control group solely concentrated on engaging in sedentary and inactive video gaming. EFs were evaluated through the utilization of both the flanker task and the Wisconsin card sorting task, both administered initially at baseline and subsequently after an 8-week interval. In addition, the parents of the children completed the Emotion Regulation Checklist to evaluate their ER skills. Results: According to the results, a significant difference was observed between the two groups in terms of EFs and the ability to regulate emotion (P < 0.05). The intervention group demonstrated a notable improvement in ER skills and exhibited superior executive functioning abilities compared with the control group. Conclusion: It appears that VR exercises can serve as a preliminary trial to enhance EFs and ER in children with autism. In addition, they may prove effective as complementary interventions to traditional educational strategies in preventing future challenges associated with ASD. © 2025, Mary Ann Liebert, Inc., publishers.;;Trata sobre investigar la eficacia de un programa de ejercicio físico basado en realidad virtual (RV) para mejorar la RE y las FE en niños con trastorno del espectro autista (TEA);VR, TEA;;;AR,VR;0;VR,AR;;;
10.1007/s10758-024-09806-6;Game-Based Performance Tasks for Assessing Representational Flexibility of Autistic Adolescents in a Virtual World;In this exploratory study, we designed and validated game-based performance tasks to assess the development of representational flexibility in autistic adolescents through virtual reality (VR)-based training. Representational flexibility, a critical cognitive ability, involves attention switching, generating representations, and recognizing patterns—skills essential for adaptive problem-solving and success in STEM education. Despite the increasing use of VR in educational interventions, limited research has explored dynamic, real-time assessment methods for representational flexibility, particularly for autistic learners. To address this gap, we conducted 71 VR-based training sessions with seven autistic adolescents, implementing a variety of game-based tasks targeting specific subsets of representational flexibility. Using both correlation and regression analyses, we evaluated the predictive validity of these tasks. Findings indicated significant relationships between task performance and representational flexibility subsets, with certain tasks demonstrating strong potential as proxies for dynamic cognitive assessments. The study highlights the viability of game-based performance tasks as an innovative approach to tracking cognitive development in immersive learning environments. Broadly, these findings contribute to advancing inclusive VR-based educational practices and assessment methodologies tailored to the unique needs of neurodiverse learners. © The Author(s), under exclusive licence to Springer Nature B.V. 2024.;;Trata sobre la eficacia de un programa de ejercicio físico basado en realidad virtual (RV) para mejorar la Regulación Emocional y las Funciones Ejecutivas en niños con TEA;VR, GAME, TEA;;;AR,VR;0;VR,AR;;;
10.1002/jdn.70000;Virtual Reality-Based Attention Prediction Model in Gaming for Autistic Children;Nowadays, virtual reality (VR) has emerged as a successful new therapeutic strategy in a variety of sectors of the health profession, including rehabilitation, the promotion of inpatients' emotional wellness, diagnostics, surgeon training and mental health therapy. This study develops a new model VRAPMG for children with ASD with the following steps that consider 3D gaming. In this work, the face image is considered to evaluate the attention of the children. In the data acquisition, the input face image is converted into a noncoloured image called a greyscale image. The preprocessing phase is carried out with a median filter and Viola–Jones (VJ) algorithm–based face detection is carried out. Then, the improved active shape model (ASM), shape local binary texture (SLBT) and eye position localization–based features are extracted. In the detection phase, DMO and Bi-GRU models are combined to form the hybrid classification model. Then, improved SLF is done, and the output is detected. Depending on the detected emotions, it is determined whether the children are attentive or not via entropy-based attention prediction. © 2025 International Society for Developmental Neuroscience.;;Trata sobre considerar, mediante juegos 3D,  la imagen del rostro de un niño con TEA para evaluar la atención.;VR, TEA;GAME;;AR,VR;0;VR,AR;;;
10.4018/979-8-3693-7437-5.ch009;The impact of a gamified augmented environment on language skills in students with ASD;This study investigates the impact of a Gamified Augmented Environment (GAE) intervention on language skills in students with Autism Spectrum Disorder (ASD) (N=54). It explores the effects of individual student variables such as age, gender, ASD severity, comorbidity, and language type. Employing a quantitative, exploratory methodology, language skills were assessed using the DiagnosticApp instrument before (pre-test) and after (post-test) the GAE intervention. Findings revealed a significant improvement in language skills post-intervention, particularly in the expansion of vocabulary related to animals and pirates, the theme of the GAE. ASD severity was found to be a significant factor, with students experiencing more severe ASD exhibiting lower scores due to cognitive limitations. Age and gender did not significantly impact scores. Overall, the study highlights the effectiveness of the Gamified Augmented Environment in providing a motivating and immersive experience through augmented reality, thereby enhancing language skills in students through engaging in a pirate adventure. © 2025, IGI Global Scientific Publishing. All rights reserved.;;Trata sobre el impacto de una intervención mediante un juego de Realidad Extendida en las habilidades lingüísticas de estudiantes con Trastorno del Espectro Autista (TEA);GAME, TEA;AR;;AR;0;AR;;;
10.1080/17482798.2025.2594476;Parent and clinician perspectives on the ethics of extended reality technologies for neurodivergent children in the U.S.;There has been rapid market growth in recent years for extended reality (XR) technologies (e.g. virtual reality), in part driven by adoption among families with children. There are, however, practical and ethical challenges related to these devices and applications for young people’s learning, leisure, and health. Risks and benefits may be particularly acute for neurodivergent youth, and specifically those with a diagnosis of autism and/or attention-deficit/hyperactivity disorder (ADHD). Mediation theories highlight the importance of both parents and clinicians (e.g. behavioral therapists, speech-language pathologists) in the regulation, management, and supervision of neurodivergent children’s technology use. As such, we conducted two 90-minute focus groups with 12 parents of and clinicians who work with neurodivergent children aged 8–13 to understand how these stakeholders understand XR and its ethical dimensions. Findings indicate both positive and negative attitudes towards hypothetical depictions of child XR use, while recognizing the many factors influencing potential outcomes for the neurodivergent child population. In evaluating the broader XR landscape, participants noted several issues of ethical complexity, including adult responsibility for neurodivergent children’s XR use and unknown XR effects and risks. We discuss our results relative to existing theory and prior work, practical implications, and future research directions. © 2025 Informa UK Limited, trading as Taylor & Francis Group.;;Trata sobre la cuestión de si es seguro y ético utilizar AR en jóvenes con TEA;TEA;AR;;AR,VR;0;VR,AR;;;
10.1080/10447318.2025.2594146;Applying Multisensory Dyadic Play with Augmented Reality and Symbolic Representation to Enhance Emotional Awareness and Expression in Autistic Children;Autistic children often experience challenges with emotional self-awareness and expression, limiting their ability to regulate emotions or communicate internal states. Traditional interventions emphasize external behavioral imitation but seldom address internal emotional processing. This study developed a three-stage, game-based intervention integrating augmented reality, tangible objects, and vibrotactile feedback to foster emotional awareness. Grounded in metacognitive embodied learning principles, the intervention guided autistic participants through tactile exploration, symbolic scenario construction, and reasoning surrounding emotional transitions. Four autistic participants aged 8–9 took part in a single-subject multiple-baseline design. Evaluation tools included the Social–Emotional Assessment Test, the Behavioral and Emotional Observation Scale, and parent reports across the baseline, intervention, and maintenance phases. Results suggest preliminary improvements in emotional recognition, symbolic vocabulary use, and perspective-taking, with emerging ability to associate bodily sensations with emotional vocabulary. Findings provide preliminary evidence that combining AR with multisensory dyadic play may support emotional competencies in autistic children. © 2025 Taylor & Francis Group, LLC.;;Trata sobre el desarrolló una intervención basada en el juego de tres etapas que integra realidad aumentada, objetos tangibles y retroalimentación vibrotáctil para fomentar la conciencia emocional;AR, GAME, TEA;;;AR;0;AR;;;
10.1016/j.ijcci.2024.100683;Improved socio-emotional skills in students with autism spectrum disorder (ASD) following an intervention supported by an augmented gamified environment;This study examines the impact of an intervention using an Augmented Gamified Environment (AGE) to stimulate socio-emotional skills in a sample of 54 subjects with Autism Spectrum Disorder (ASD) aged between 3 and 17 years old. The study used a quantitative, exploratory, analytical methodology. Socio-emotional skills were evaluated before and after intervention (pre-posttest) using the DiagnosticApp instrument, supported by a fun app. The study specifically analyzed their ability to identify primary and secondary emotions and emotional states, as well as the cause-effect relationship linked to a context. The results show that socio-emotional skills improved after the intervention, regardless of gender, age, degree of ASD, comorbidity, or type of language. Overall, the greatest improvement was in identifying both primary and secondary emotions through recognizing facial expressions. Additionally, as expected, older students, and those with less severe ASD and more functional language exhibited higher scores in their socio-emotional skills. In conclusion, the extrinsic motivation associated with the mix of game mechanics, dynamics, and aesthetics, along with the augmented reality resources making up the AGE, are key contributing elements in improving these students’ socio-emotional skills. © 2024 The Author(s);;Trata de examinar el impacto de una intervención que utiliza un Entorno Gamificado Aumentado (AGE) para estimular las habilidades socioemocionales en una muestra de 54 sujetos con Trastorno del Espectro Autista (TEA) con edades comprendidas entre los 3 y 17 años;GAME, TEA;AR;;AR;0;AR;;;
10.1109/TG.2024.3410163;The Effects of Social Presence on Gaze, Movement, Arousal and Blink Rate in Autism: A Cooperative Virtual Reality Game-Based Approach;Difficulty in social interaction is a key factor in the diagnostic criteria for autism. Although not fully understood, fluid human social interaction demands a complex exchange of verbal and nonverbal signals, which is disrupted in autistic individuals. Differences in gaze behavior, gross motor movement, and physiological responses related to arousal and attention have been observed repeatedly in autistic individuals, potentially impacting social interaction. Our prior work (Simmons et al., 2023) uses a fully immersive virtual reality video game custom-designed to examine the role of social presence through solo and cooperative versions of the game. We predicted that the inclusion of a virtual presence would impact the temporal execution of gaze behaviors and gross motor movements, as well as modulate physiological arousal and blink rate in autistic individuals differently than nonautistic controls. We found that the cooperative condition produced a larger number of differences in gaze behaviors and gross motor movements for autistic individuals. In addition, arousal and blink rate displayed differences during the cooperative condition. These findings demonstrate the specific effects of a virtual social presence on fundamental behaviors that comprise social interaction and can be measured and eventually manipulated in virtual reality. © 2024 IEEE.;;Trata de examinar la iteracción social de una persona con TEA;VR, GAME, TEA;;;AR,motion capture,eye tracking,VR;0;VR,AR;;;eye tracking,motion capture
10.1016/j.humov.2024.103254;Characterization of bilateral reaching development using augmented reality games;Bilateral coordination is commonly impaired in neurodevelopmental conditions including cerebral palsy, developmental coordination disorder, and autism spectrum disorder. However, we lack objective clinical assessments that can quantify bilateral coordination in a clinically feasible manner and determine age-based norms to identify impairments. The objective of this study was to use augmented reality and computer vision to characterize bilateral reaching abilities in typically developing children. Typically developing children (n = 133) ages 6–17 years completed symmetric and asymmetric bilateral reaching tasks in an augmented reality game environment. We analyzed the number of target pairs they could reach in 50 s as well as the time lag between their hands reaching the targets. We found that performance on both tasks developed in parallel, with development slowing but not plateauing after age 12. Children performed better on the symmetric task than asymmetric, both in targets reached and with shorter hand lags. Variability between children in hand lag decreased with age. We also found gender differences with females outperforming males, which were most pronounced in the 10–11 year olds. Overall, this study demonstrates parallel development through childhood and adolescence of symmetric and asymmetric reaching abilities. Furthermore, it demonstrates the ability to quantify bilateral coordination using computer vision and augmented reality, which can be applied to assess clinical populations. © 2024 Elsevier B.V.;;Trata de utilizar realidad aumentada y visión artificial para caracterizar las capacidades de alcance bilateral en niños con desarrollo típico;AR;GAME, TEA;;AR;0;AR;;;
